   0.0000000e+00   6.0 3.46
   1.5291286e+01   6.0   3.46
   1.5391286e+01   6.7   3.8700
   4.4780333e+01   6.7   3.870
   4.4880333e+01   8.0797260e+00   4.4229090e+00
  220.0000    7.9897     4.2188  
  220.0100    8.5590     4.6439 
  400.0000    8.9052     4.7699 
  400.0100    9.1340     4.9326 
  600.0000   10.1578     5.5160 
  670.0000   10.2662     5.5702 
  670.0100   10.7513     5.9451 
  771.0000   11.0656     6.2405 
  871.0000   11.2449     6.3109 
  971.0000   11.4156     6.3781 
 1071.0000   11.5783     6.4423 
 1171.0000   11.7336     6.5037 
 1271.0000   11.8821     6.5625 
